카테고리: 모든 카테고리

일,Bitcoin: (전 세계)
2018-07-01,45
2018-07-02,50
2018-07-03,48
2018-07-04,47
2018-07-05,48
2018-07-06,43
2018-07-07,34
2018-07-08,40
2018-07-09,45
2018-07-10,45
2018-07-11,44
2018-07-12,47
2018-07-13,44
2018-07-14,35
2018-07-15,37
2018-07-16,46
2018-07-17,59
2018-07-18,65
2018-07-19,55
2018-07-20,52
2018-07-21,45
2018-07-22,42
2018-07-23,52
2018-07-24,71
2018-07-25,65
2018-07-26,58
2018-07-27,56
2018-07-28,47
2018-07-29,45
2018-07-30,49
2018-07-31,53
2018-08-01,51
2018-08-02,48
2018-08-03,50
2018-08-04,47
2018-08-05,43
2018-08-06,49
2018-08-07,52
2018-08-08,62
2018-08-09,54
2018-08-10,52
2018-08-11,51
2018-08-12,45
2018-08-13,50
2018-08-14,63
2018-08-15,57
2018-08-16,49
2018-08-17,48
2018-08-18,40
2018-08-19,38
2018-08-20,45
2018-08-21,48
2018-08-22,54
2018-08-23,46
2018-08-24,43
2018-08-25,39
2018-08-26,38
2018-08-27,44
2018-08-28,50
2018-08-29,49
2018-08-30,47
2018-08-31,45
2018-09-01,42
2018-09-02,44
2018-09-03,45
2018-09-04,47
2018-09-05,58
2018-09-06,63
2018-09-07,52
2018-09-08,44
2018-09-09,41
2018-09-10,46
2018-09-11,47
2018-09-12,50
2018-09-13,49
2018-09-14,45
2018-09-15,37
2018-09-16,36
2018-09-17,44
2018-09-18,43
2018-09-19,44
2018-09-20,41
2018-09-21,49
2018-09-22,40
2018-09-23,37
2018-09-24,41
2018-09-25,42
2018-09-26,42
2018-09-27,43
2018-09-28,41
2018-09-29,35
2018-09-30,33
2018-10-01,37
2018-10-02,39
2018-10-03,39
2018-10-04,37
2018-10-05,38
2018-10-06,28
2018-10-07,28
2018-10-08,36
2018-10-09,38
2018-10-10,40
2018-10-11,51
2018-10-12,41
2018-10-13,33
2018-10-14,32
2018-10-15,47
2018-10-16,41
2018-10-17,39
2018-10-18,37
2018-10-19,36
2018-10-20,31
2018-10-21,29
2018-10-22,37
2018-10-23,37
2018-10-24,37
2018-10-25,36
2018-10-26,33
2018-10-27,30
2018-10-28,27
2018-10-29,37
2018-10-30,37
2018-10-31,38
2018-11-01,36
2018-11-02,35
2018-11-03,30
2018-11-04,35
2018-11-05,41
2018-11-06,40
2018-11-07,39
2018-11-08,37
2018-11-09,38
2018-11-10,30
2018-11-11,28
2018-11-12,36
2018-11-13,37
2018-11-14,58
2018-11-15,69
2018-11-16,52
2018-11-17,42
2018-11-18,39
2018-11-19,66
2018-11-20,100
2018-11-21,75
2018-11-22,59
2018-11-23,59
2018-11-24,54
2018-11-25,80
2018-11-26,78
2018-11-27,75
2018-11-28,68
2018-11-29,58
2018-11-30,55
2018-12-01,45
2018-12-02,41
2018-12-03,54
2018-12-04,51
2018-12-05,50
2018-12-06,56
2018-12-07,75
2018-12-08,54
2018-12-09,48
2018-12-10,52
2018-12-11,52
2018-12-12,48
2018-12-13,50
2018-12-14,55
2018-12-15,48
2018-12-16,43
2018-12-17,56
2018-12-18,55
2018-12-19,59
2018-12-20,65
2018-12-21,55
2018-12-22,43
2018-12-23,45
2018-12-24,51
2018-12-25,48
2018-12-26,46
2018-12-27,47
2018-12-28,47
2018-12-29,42
2018-12-30,39
2018-12-31,41
2019-01-01,37
2019-01-02,45
2019-01-03,44
2019-01-04,44
2019-01-05,35
2019-01-06,38
2019-01-07,44
2019-01-08,43
2019-01-09,43
2019-01-10,48
2019-01-11,45
2019-01-12,35
2019-01-13,33
2019-01-14,43
2019-01-15,41
2019-01-16,38
2019-01-17,37
2019-01-18,35
2019-01-19,30
2019-01-20,31
2019-01-21,33
2019-01-22,35
2019-01-23,34
2019-01-24,36
2019-01-25,32
2019-01-26,29
2019-01-27,29
2019-01-28,39
2019-01-29,37
2019-01-30,36
2019-01-31,33
2019-02-01,34
2019-02-02,28
2019-02-03,31
2019-02-04,35
2019-02-05,42
2019-02-06,41
2019-02-07,38
2019-02-08,39
2019-02-09,35
2019-02-10,31
2019-02-11,37
2019-02-12,33
2019-02-13,34
2019-02-14,31
2019-02-15,30
2019-02-16,27
2019-02-17,26
2019-02-18,43
2019-02-19,43
2019-02-20,42
2019-02-21,40
2019-02-22,38
2019-02-23,40
2019-02-24,46
2019-02-25,40
2019-02-26,36
2019-02-27,33
2019-02-28,32
2019-03-01,31
