카테고리: 모든 카테고리

일,Bitcoin: (전 세계)
2021-11-01,37
2021-11-02,41
2021-11-03,39
2021-11-04,38
2021-11-05,36
2021-11-06,33
2021-11-07,33
2021-11-08,48
2021-11-09,54
2021-11-10,48
2021-11-11,43
2021-11-12,44
2021-11-13,38
2021-11-14,38
2021-11-15,41
2021-11-16,51
2021-11-17,45
2021-11-18,48
2021-11-19,46
2021-11-20,38
2021-11-21,35
2021-11-22,40
2021-11-23,43
2021-11-24,45
2021-11-25,38
2021-11-26,48
2021-11-27,40
2021-11-28,37
2021-11-29,41
2021-11-30,40
2021-12-01,37
2021-12-02,35
2021-12-03,37
2021-12-04,84
2021-12-05,59
2021-12-06,57
2021-12-07,50
2021-12-08,43
2021-12-09,44
2021-12-10,43
2021-12-11,38
2021-12-12,37
2021-12-13,44
2021-12-14,48
2021-12-15,43
2021-12-16,40
2021-12-17,38
2021-12-18,36
2021-12-19,34
2021-12-20,41
2021-12-21,39
2021-12-22,37
2021-12-23,38
2021-12-24,38
2021-12-25,35
2021-12-26,34
2021-12-27,36
2021-12-28,38
2021-12-29,36
2021-12-30,38
2021-12-31,35
2022-01-01,36
2022-01-02,36
2022-01-03,38
2022-01-04,65
2022-01-05,35
2022-01-06,50
2022-01-07,60
2022-01-08,55
2022-01-09,49
2022-01-10,52
2022-01-11,50
2022-01-12,46
2022-01-13,35
2022-01-14,33
2022-01-15,34
2022-01-16,49
2022-01-17,34
2022-01-18,35
2022-01-19,34
2022-01-20,36
2022-01-21,72
2022-01-22,99
2022-01-23,67
2022-01-24,70
2022-01-25,56
2022-01-26,56
2022-01-27,49
2022-01-28,54
2022-01-29,47
2022-01-30,46
2022-01-31,47
2022-02-01,46
2022-02-02,45
2022-02-03,44
2022-02-04,47
2022-02-05,47
2022-02-06,41
2022-02-07,50
2022-02-08,50
2022-02-09,44
2022-02-10,37
2022-02-11,41
2022-02-12,35
2022-02-13,36
2022-02-14,36
2022-02-15,41
2022-02-16,36
2022-02-17,39
2022-02-18,38
2022-02-19,34
2022-02-20,40
2022-02-21,43
2022-02-22,45
2022-02-23,38
2022-02-24,82
2022-02-25,50
2022-02-26,40
2022-02-27,41
2022-02-28,49
2022-03-01,54
2022-03-02,49
2022-03-03,42
2022-03-04,43
2022-03-05,37
2022-03-06,34
2022-03-07,41
2022-03-08,36
2022-03-09,43
2022-03-10,41
2022-03-11,39
2022-03-12,33
2022-03-13,32
2022-03-14,35
2022-03-15,33
2022-03-16,35
2022-03-17,34
2022-03-18,34
2022-03-19,30
2022-03-20,29
2022-03-21,31
2022-03-22,34
2022-03-23,31
2022-03-24,34
2022-03-25,35
2022-03-26,31
2022-03-27,33
2022-03-28,41
2022-03-29,36
2022-03-30,34
2022-03-31,33
2022-04-01,33
2022-04-02,30
2022-04-03,28
2022-04-04,29
2022-04-05,30
2022-04-06,33
2022-04-07,32
2022-04-08,31
2022-04-09,28
2022-04-10,26
2022-04-11,36
2022-04-12,32
2022-04-13,32
2022-04-14,29
2022-04-15,28
2022-04-16,25
2022-04-17,24
2022-04-18,31
2022-04-19,28
2022-04-20,27
2022-04-21,27
2022-04-22,27
2022-04-23,24
2022-04-24,23
2022-04-25,31
2022-04-26,30
2022-04-27,29
2022-04-28,28
2022-04-29,28
2022-04-30,25
2022-05-01,27
2022-05-02,28
2022-05-03,28
2022-05-04,27
2022-05-05,33
2022-05-06,36
2022-05-07,28
2022-05-08,34
2022-05-09,61
2022-05-10,59
2022-05-11,68
2022-05-12,100
2022-05-13,78
2022-05-14,56
2022-05-15,49
2022-05-16,50
2022-05-17,45
2022-05-18,45
2022-05-19,43
2022-05-20,39
2022-05-21,35
2022-05-22,34
2022-05-23,35
2022-05-24,37
2022-05-25,33
2022-05-26,36
2022-05-27,36
2022-05-28,30
2022-05-29,28
2022-05-30,36
2022-05-31,35
2022-06-01,32
2022-06-02,32
2022-06-03,31
2022-06-04,26
2022-06-05,25
2022-06-06,31
2022-06-07,33
2022-06-08,30
2022-06-09,28
2022-06-10,29
2022-06-11,29
2022-06-12,37
2022-06-13,97
2022-06-14,95
2022-06-15,89
2022-06-16,74
2022-06-17,64
2022-06-18,100
2022-06-19,92
2022-06-20,72
2022-06-21,63
2022-06-22,57
2022-06-23,48
2022-06-24,47
2022-06-25,36
2022-06-26,37
2022-06-27,43
2022-06-28,41
2022-06-29,44
2022-06-30,51
2022-07-01,50
