,Date,Close,Open,High,Low,Fluctuations
97,2022- 10- 17,112.04,113.22,113.22,111.92,-1.12%
98,2022- 10- 14,113.31,112.47,113.42,112.16,0.84%
99,2022- 10- 13,112.36,113.24,113.92,112.15,-0.84%
100,2022- 10- 12,113.32,113.31,113.59,113.05,0.09%
101,2022- 10- 11,113.22,113.08,113.5,112.41,0.07%
102,2022- 10- 10,113.14,112.75,113.33,112.62,0.31%
103,2022- 10- 07,112.79,112.25,112.88,111.95,0.48%
104,2022- 10- 06,112.26,111.02,112.31,110.78,1.07%
105,2022- 10- 05,111.07,110.22,111.74,110.09,0.92%
106,2022- 10- 04,110.07,111.59,111.89,110.06,-1.50%
107,2022- 10- 03,111.75,112.17,112.54,111.47,-0.33%
108,2022- 09- 30,112.12,111.75,112.67,111.58,-0.12%
109,2022- 09- 29,112.25,113.01,113.79,111.77,-0.31%
110,2022- 09- 28,112.6,114.18,114.78,112.56,-1.32%
111,2022- 09- 27,114.11,114.02,114.47,113.33,0.00%
112,2022- 09- 26,114.1,113.02,114.53,112.94,0.80%
113,2022- 09- 23,113.19,111.24,113.23,111.08,1.65%
114,2022- 09- 22,111.35,111.48,111.81,110.46,0.64%
115,2022- 09- 21,110.64,110.16,111.58,110.13,0.39%
116,2022- 09- 20,110.21,109.58,110.29,109.36,0.44%
117,2022- 09- 19,109.74,109.64,110.18,109.49,-0.02%
118,2022- 09- 16,109.76,109.8,110.26,109.47,0.02%
119,2022- 09- 15,109.74,109.61,109.92,109.42,0.07%
120,2022- 09- 14,109.66,109.97,109.93,109.28,-0.14%
121,2022- 09- 13,109.82,108.23,110.01,107.68,1.37%
122,2022- 09- 12,108.33,108.6,108.86,107.81,-0.62%
123,2022- 09- 09,109.0,109.57,109.54,108.36,-0.64%
124,2022- 09- 08,109.71,109.67,110.24,109.33,-0.12%
125,2022- 09- 07,109.84,110.32,110.79,109.53,-0.34%
126,2022- 09- 06,110.21,109.6,110.55,109.38,0.35%
127,2022- 09- 05,109.83,109.61,110.27,109.72,0.27%
128,2022- 09- 02,109.53,109.64,109.72,108.93,-0.14%
129,2022- 09- 01,109.69,108.84,109.98,108.77,0.91%
130,2022- 08- 31,108.7,108.75,109.2,108.38,-0.07%
131,2022- 08- 30,108.77,108.7,109.11,108.29,-0.06%
132,2022- 08- 29,108.83,108.84,109.48,108.49,0.03%
133,2022- 08- 26,108.8,108.47,108.87,107.59,0.31%
134,2022- 08- 25,108.47,108.63,108.69,107.99,-0.19%
135,2022- 08- 24,108.68,108.52,109.11,108.36,0.05%
136,2022- 08- 23,108.62,109.0,109.27,108.08,-0.39%
137,2022- 08- 22,109.05,108.1,109.1,108.08,0.81%
138,2022- 08- 19,108.17,107.5,108.21,107.47,0.64%
139,2022- 08- 18,107.48,106.68,107.56,106.5,0.85%
140,2022- 08- 17,106.57,106.45,106.89,106.31,0.07%
141,2022- 08- 16,106.5,106.48,106.94,106.32,-0.04%
142,2022- 08- 15,106.55,105.67,106.55,105.55,0.87%
143,2022- 08- 12,105.63,105.16,105.88,105.09,0.51%
144,2022- 08- 11,105.09,105.21,105.46,104.65,-0.10%
145,2022- 08- 10,105.2,106.34,106.4,104.64,-1.11%
146,2022- 08- 09,106.37,106.33,106.41,105.97,-0.06%
147,2022- 08- 08,106.43,106.58,106.8,106.09,-0.17%
148,2022- 08- 05,106.62,105.72,106.93,105.69,0.88%
149,2022- 08- 04,105.69,106.48,106.51,105.67,-0.76%
150,2022- 08- 03,106.51,106.43,106.82,105.97,0.25%
151,2022- 08- 02,106.24,105.36,106.35,105.05,0.75%
152,2022- 08- 01,105.45,105.83,106.03,105.24,-0.43%
153,2022- 07- 29,105.9,106.21,106.66,105.54,-0.42%
154,2022- 07- 28,106.35,106.37,106.97,106.06,-0.09%
155,2022- 07- 27,106.45,107.13,107.43,106.26,-0.69%
156,2022- 07- 26,107.19,106.45,107.28,106.2,0.66%
157,2022- 07- 25,106.48,106.54,106.88,106.19,-0.23%
158,2022- 07- 22,106.73,106.59,107.36,106.11,-0.17%
159,2022- 07- 21,106.91,107.08,107.32,106.42,-0.16%
160,2022- 07- 20,107.08,106.67,107.25,106.39,0.37%
161,2022- 07- 19,106.68,107.49,107.63,106.4,-0.64%
162,2022- 07- 18,107.37,107.98,108.04,106.89,-0.64%
163,2022- 07- 15,108.06,108.67,108.71,107.91,-0.44%
164,2022- 07- 14,108.54,108.14,109.29,108.14,0.54%
165,2022- 07- 13,107.96,108.18,108.58,107.48,-0.11%
166,2022- 07- 12,108.07,108.18,108.56,107.84,0.05%
167,2022- 07- 11,108.02,106.89,108.27,106.92,0.95%
168,2022- 07- 08,107.01,107.04,107.79,106.81,-0.11%
169,2022- 07- 07,107.13,107.07,107.24,106.71,0.03%
170,2022- 07- 06,107.1,106.49,107.26,106.36,0.53%
171,2022- 07- 05,106.54,105.14,106.79,105.05,1.33%
172,2022- 07- 04,105.14,105.12,105.25,104.82,0.00%
173,2022- 07- 01,105.14,104.78,105.64,104.74,0.43%
174,2022- 06- 30,104.68,105.06,105.54,104.64,-0.40%
175,2022- 06- 29,105.11,104.46,105.15,104.36,0.57%
176,2022- 06- 28,104.51,103.97,104.61,103.77,0.55%
177,2022- 06- 27,103.94,104.12,104.21,103.67,-0.24%
178,2022- 06- 24,104.18,104.38,104.51,103.95,-0.24%
179,2022- 06- 23,104.43,104.21,104.77,104.06,0.22%
180,2022- 06- 22,104.2,104.43,104.95,103.86,-0.23%
181,2022- 06- 21,104.43,104.44,104.54,103.94,-0.25%
182,2022- 06- 20,104.7,104.65,104.82,104.23,0.00%
183,2022- 06- 17,104.7,103.88,105.08,103.83,1.03%
184,2022- 06- 16,103.63,104.9,105.49,103.42,-1.45%
185,2022- 06- 15,105.16,105.35,105.79,104.66,-0.34%
186,2022- 06- 14,105.52,105.19,105.65,104.62,0.42%
187,2022- 06- 13,105.08,104.19,105.29,104.21,0.89%
188,2022- 06- 10,104.15,103.34,104.23,103.05,0.90%
189,2022- 06- 09,103.22,102.56,103.37,102.15,0.66%
190,2022- 06- 08,102.54,102.39,102.78,102.27,0.22%
191,2022- 06- 07,102.32,102.49,102.84,102.26,-0.12%
192,2022- 06- 06,102.44,102.17,102.47,101.85,0.29%
193,2022- 06- 03,102.14,101.75,102.22,101.64,0.31%
194,2022- 06- 02,101.82,102.55,102.62,101.74,-0.66%
195,2022- 06- 01,102.5,101.76,102.73,101.74,0.73%
196,2022- 05- 31,101.75,101.43,102.17,101.41,0.08%
197,2022- 05- 30,101.67,101.64,101.72,101.3,0.00%
198,2022- 05- 27,101.67,101.72,101.94,101.43,-0.16%
199,2022- 05- 26,101.83,102.02,102.27,101.74,-0.22%
200,2022- 05- 25,102.06,101.77,102.45,101.73,0.20%
201,2022- 05- 24,101.86,102.11,102.32,101.65,-0.21%
202,2022- 05- 23,102.08,103.03,103.05,102.04,-1.04%
203,2022- 05- 20,103.15,102.9,103.26,102.77,0.41%
204,2022- 05- 19,102.72,103.83,103.88,102.66,-1.05%
205,2022- 05- 18,103.81,103.34,103.93,103.19,0.44%
206,2022- 05- 17,103.36,104.17,104.23,103.23,-0.79%
207,2022- 05- 16,104.19,104.46,104.64,104.14,-0.36%
208,2022- 05- 13,104.56,104.77,105.0,104.46,-0.27%
209,2022- 05- 12,104.85,104.01,104.93,103.88,0.97%
210,2022- 05- 11,103.85,103.9,104.11,103.37,-0.07%
211,2022- 05- 10,103.92,103.73,103.98,103.5,0.26%
212,2022- 05- 09,103.65,103.66,104.19,103.39,-0.01%
213,2022- 05- 06,103.66,103.56,104.06,103.19,-0.09%
214,2022- 05- 05,103.75,102.68,103.94,102.35,1.14%
215,2022- 05- 04,102.59,103.46,103.61,102.46,-0.85%
216,2022- 05- 03,103.46,103.6,103.67,103.03,-0.27%
217,2022- 05- 02,103.74,103.21,103.75,103.11,0.76%
218,2022- 04- 29,102.96,103.67,103.67,102.82,-0.64%
219,2022- 04- 28,103.62,103.04,103.93,102.98,0.65%
220,2022- 04- 27,102.95,102.28,103.28,102.22,0.64%
221,2022- 04- 26,102.3,101.73,102.36,101.51,0.54%
222,2022- 04- 25,101.75,101.12,101.86,101.04,0.53%
223,2022- 04- 22,101.22,100.62,101.33,100.47,0.64%
224,2022- 04- 21,100.58,100.35,100.64,99.82,0.19%
225,2022- 04- 20,100.39,100.98,101.04,100.22,-0.57%
226,2022- 04- 19,100.96,100.83,101.03,100.7,0.18%
227,2022- 04- 18,100.78,100.5,100.86,100.46,0.46%
228,2022- 04- 15,100.32,100.42,100.57,100.32,0.00%
229,2022- 04- 14,100.32,99.79,100.76,99.57,0.45%
230,2022- 04- 13,99.88,100.34,100.52,99.83,-0.42%
231,2022- 04- 12,100.29,100.04,100.33,99.74,0.36%
232,2022- 04- 11,99.93,99.84,100.05,99.61,0.14%
233,2022- 04- 08,99.8,99.82,100.19,99.74,0.05%
234,2022- 04- 07,99.75,99.65,99.83,99.4,0.15%
235,2022- 04- 06,99.6,99.47,99.77,99.31,0.13%
236,2022- 04- 05,99.47,99.0,99.52,98.84,0.48%
237,2022- 04- 04,99.0,98.57,99.08,98.52,0.37%
238,2022- 04- 01,98.63,98.33,98.74,98.31,0.33%
239,2022- 03- 31,98.31,97.83,98.4,97.69,0.53%
240,2022- 03- 30,97.79,98.37,98.43,97.68,-0.62%
241,2022- 03- 29,98.4,99.08,99.29,98.04,-0.69%
242,2022- 03- 28,99.09,98.81,99.37,98.8,0.31%
243,2022- 03- 25,98.79,98.75,98.83,98.4,0.00%
244,2022- 03- 24,98.79,98.64,98.96,98.6,0.17%
245,2022- 03- 23,98.62,98.47,98.88,98.39,0.13%
246,2022- 03- 22,98.49,98.49,98.96,98.32,-0.01%
247,2022- 03- 21,98.5,98.24,98.53,98.16,0.27%
248,2022- 03- 18,98.23,98.0,98.62,97.84,0.26%
249,2022- 03- 17,97.97,98.5,98.51,97.73,-0.65%
250,2022- 03- 16,98.62,98.89,99.08,98.29,-0.48%
251,2022- 03- 15,99.1,99.13,99.2,98.64,0.10%
252,2022- 03- 14,99.0,99.13,99.29,98.68,-0.13%
253,2022- 03- 11,99.12,98.36,99.16,98.27,0.63%
254,2022- 03- 10,98.51,98.06,98.6,97.71,0.55%
255,2022- 03- 09,97.97,99.12,99.12,97.85,-1.10%
256,2022- 03- 08,99.06,99.24,99.32,98.71,-0.23%
257,2022- 03- 07,99.29,98.51,99.42,98.51,0.65%
258,2022- 03- 04,98.65,98.04,98.92,97.84,0.88%
259,2022- 03- 03,97.79,97.47,97.95,97.43,0.41%
260,2022- 03- 02,97.39,97.37,97.83,97.29,-0.02%
261,2022- 03- 01,97.41,96.76,97.58,96.63,0.73%
262,2022- 02- 28,96.71,96.54,97.42,96.54,0.10%
263,2022- 02- 25,96.61,97.0,97.22,96.52,-0.54%
264,2022- 02- 24,97.14,96.22,97.74,96.22,0.98%
265,2022- 02- 23,96.19,96.04,96.24,95.85,0.17%
266,2022- 02- 22,96.03,96.08,96.26,95.84,-0.06%
267,2022- 02- 21,96.08,96.11,96.15,95.69,0.04%
268,2022- 02- 18,96.04,95.83,96.17,95.73,0.25%
269,2022- 02- 17,95.8,95.77,96.11,95.71,0.10%
270,2022- 02- 16,95.7,96.01,96.06,95.68,-0.30%
271,2022- 02- 15,95.99,96.24,96.29,95.96,-0.40%
272,2022- 02- 14,96.37,96.03,96.43,95.91,0.30%
273,2022- 02- 11,96.08,95.94,96.11,95.64,0.55%
274,2022- 02- 10,95.55,95.57,96.0,95.17,0.06%
275,2022- 02- 09,95.49,95.59,95.67,95.38,-0.16%
276,2022- 02- 08,95.64,95.43,95.75,95.4,0.26%
277,2022- 02- 07,95.4,95.48,95.63,95.35,-0.09%
278,2022- 02- 04,95.49,95.31,95.7,95.14,0.11%
279,2022- 02- 03,95.38,96.02,96.25,95.24,-0.58%
280,2022- 02- 02,95.94,96.27,96.3,95.81,-0.47%
281,2022- 02- 01,96.39,96.7,96.72,96.24,-0.16%
282,2022- 01- 31,96.54,97.22,97.3,96.52,-0.75%
283,2022- 01- 28,97.27,97.25,97.44,97.06,0.02%
284,2022- 01- 27,97.25,96.54,97.29,96.53,0.90%
285,2022- 01- 26,96.39,95.96,96.54,95.91,0.46%
286,2022- 01- 25,95.95,95.93,96.27,95.9,0.03%
287,2022- 01- 24,95.92,95.64,96.13,95.63,0.29%
288,2022- 01- 21,95.64,95.81,95.84,95.5,-0.10%
289,2022- 01- 20,95.74,95.59,95.86,95.42,0.24%
290,2022- 01- 19,95.51,95.77,95.79,95.49,-0.23%
291,2022- 01- 18,95.73,95.22,95.83,95.13,0.50%
292,2022- 01- 17,95.26,95.17,95.35,95.04,0.10%
