,Date,Google_trends
777,2019-08-17,13.967741935483874
778,2019-08-18,13.903225806451614
779,2019-08-19,13.838709677419354
780,2019-08-20,13.774193548387096
781,2019-08-21,13.709677419354836
782,2019-08-22,13.64516129032258
783,2019-08-23,13.580645161290322
784,2019-08-24,13.516129032258064
785,2019-08-25,13.451612903225806
786,2019-08-26,13.387096774193546
787,2019-08-27,13.32258064516129
788,2019-08-28,13.258064516129034
789,2019-08-29,13.193548387096774
790,2019-08-30,13.129032258064516
791,2019-08-31,13.06451612903226
792,2019-09-01,13.0
793,2019-09-02,12.966666666666669
794,2019-09-03,12.933333333333335
795,2019-09-04,12.9
796,2019-09-05,12.866666666666667
797,2019-09-06,12.833333333333336
798,2019-09-07,12.8
799,2019-09-08,12.766666666666667
800,2019-09-09,12.733333333333333
801,2019-09-10,12.7
802,2019-09-11,12.666666666666664
803,2019-09-12,12.633333333333333
804,2019-09-13,12.6
805,2019-09-14,12.566666666666665
806,2019-09-15,12.533333333333331
807,2019-09-16,12.5
808,2019-09-17,12.466666666666669
809,2019-09-18,12.433333333333335
810,2019-09-19,12.4
811,2019-09-20,12.366666666666667
812,2019-09-21,12.333333333333336
813,2019-09-22,12.3
814,2019-09-23,12.266666666666667
815,2019-09-24,12.233333333333334
816,2019-09-25,12.2
817,2019-09-26,12.166666666666664
818,2019-09-27,12.133333333333333
819,2019-09-28,12.1
820,2019-09-29,12.066666666666665
821,2019-09-30,12.033333333333331
822,2019-10-01,12.0
823,2019-10-02,12.0
824,2019-10-03,12.0
825,2019-10-04,12.0
826,2019-10-05,12.0
827,2019-10-06,12.0
828,2019-10-07,12.0
829,2019-10-08,12.0
830,2019-10-09,12.0
831,2019-10-10,12.0
832,2019-10-11,12.0
833,2019-10-12,12.0
834,2019-10-13,12.0
835,2019-10-14,12.0
836,2019-10-15,12.0
837,2019-10-16,12.0
838,2019-10-17,12.0
839,2019-10-18,12.0
840,2019-10-19,12.0
841,2019-10-20,12.0
842,2019-10-21,12.0
843,2019-10-22,12.0
844,2019-10-23,12.0
845,2019-10-24,12.0
846,2019-10-25,12.0
847,2019-10-26,12.0
848,2019-10-27,12.0
849,2019-10-28,12.0
850,2019-10-29,12.0
851,2019-10-30,12.0
852,2019-10-31,12.0
853,2019-11-01,12.0
854,2019-11-02,11.966666666666669
855,2019-11-03,11.933333333333335
856,2019-11-04,11.9
857,2019-11-05,11.866666666666667
858,2019-11-06,11.833333333333336
859,2019-11-07,11.8
860,2019-11-08,11.766666666666667
861,2019-11-09,11.733333333333333
862,2019-11-10,11.7
863,2019-11-11,11.666666666666664
864,2019-11-12,11.633333333333333
865,2019-11-13,11.6
866,2019-11-14,11.566666666666665
867,2019-11-15,11.533333333333331
868,2019-11-16,11.5
869,2019-11-17,11.466666666666669
870,2019-11-18,11.433333333333335
871,2019-11-19,11.4
872,2019-11-20,11.366666666666667
873,2019-11-21,11.333333333333336
874,2019-11-22,11.3
875,2019-11-23,11.266666666666667
876,2019-11-24,11.233333333333334
877,2019-11-25,11.2
878,2019-11-26,11.166666666666664
879,2019-11-27,11.133333333333333
880,2019-11-28,11.1
881,2019-11-29,11.066666666666665
882,2019-11-30,11.033333333333331
883,2019-12-01,11.0
884,2019-12-02,11.06451612903226
885,2019-12-03,11.129032258064516
886,2019-12-04,11.193548387096774
887,2019-12-05,11.258064516129034
888,2019-12-06,11.32258064516129
889,2019-12-07,11.387096774193546
890,2019-12-08,11.451612903225806
891,2019-12-09,11.516129032258064
892,2019-12-10,11.580645161290322
